name,website,email,phone,address,mission_statement,year_founded,popu_served,twitter,facebook,linkedin,instagram,programs,county
"Adoption Options, Inc",http://www.adoption-options.com,[email protected],3036951601,"1355 S. Colorado Blvd., Suite 501, Denver, CO, 80222","Adoption Options is an inclusive non-profit adoption agency dedicated to enriching the lives of children, youth and families.  We provide education, placement services, counseling and support for all members of the adoption community.
",1981,All Populations,,,,,"Infant adoption, designated adoption, foster to adopt (flexible families), Fresh Beginnings (second chance adoptions), custody evaluations, relinquishment counseling, abbreviated home studies, and training and education.
",Denver
AdvocacyDenver,http://www.advocacydenver.org,[email protected],303-831-7733,"950 S Cherry St Suite 1100, Denver, CO, 80246","AdvocacyDenver promotes and protects the human rights of people with disabilities and actively supports their full inclusion and participation in the community throughout their lifetimes.
",1954,People Living With Disabilities,,https://www.facebook.com/advocacydenverco/,,,"AdvocacyDenver is a civil rights advocacy organization serving children and youth with disabilities and adults with intellectual and developmental disabilities and their families. AdvocacyDenver provides individual, legal, and policy advocacy in Denver county.
",Denver
Advocates for Children CASA,http://www.adv4children.org,[email protected],303.328.2353,"16965 Pine Lane #120, Parker, CO, 80134","Speaking up for abused and neglected children through Court Appointed Special Advocates, CASA volunteers.
",1985,Children and Youth,,,,,"Dependency & Neglect CASAs, Truancy CASAs, Tutoring, Legacy Project Mentoring, Juvenile Delinquency CASAs
",Douglas
AfterHours Denver,https://afterhoursdenver.org,[email protected],(720) 414-0424,"1550 Larimer St, Suite 477, Denver, CO, 80202","We provide essential resources to those experiencing homelessness and poverty, while also offering community to the spiritually independent.
",2008,"All Populations, People Experiencing Homelessness, Low Income, Urban",,https://www.facebook.com/AfterHoursDenver,,https://www.instagram.com/afterhoursdenver,"We make and serve sack lunches everyday to those experiencing homelessness and poverty. We also run two annual free markets in Civic Center Park and Liberty Park where homeless and impoverished individuals can gather essential supplies. These two events are called Thankful for Long Johns and Christmas in the Park. They take place on Thanksgiving Day and Christmas Day. In addition, we create spaces in public places where the spiritually independent can build community.
",Denver
Aims Community College Foundation,https://www.aims.edu/foundation,[email protected],9703396556,"5401 W. 20th Street, Greeley, CO, 80634","To support the goals and objectives of Aims Community College by providing supplemental resources to ensure student success.
",1979,All Populations,,,,,"Scholarship development
Endowments
Program support
",Weld
Alameda Connects ,https://alamedaconnects.org/,[email protected],3032741807,"393 S. Harlan St., 210B, Lakewood, CO, 80226","We Foster Opportunity and Prosperity by Cultivating Connections Through the Celebration of our Vibrant Community
",1997,All Populations,https://twitter.com/AlamedaGateway,https://www.facebook.com/AlamedaConnects/,,https://www.instagram.com/alamedagateway/,"Arts, Street Beautification, Community development, economic development, safety
Anchor Center for Blind Children,http://www.anchorcenter.org,[email protected],3033779732,"2550 Roslyn St, Denver, CO, 80238","Anchor Center for Blind Children teaches visually impaired infants, young children and their families, providing hope and a nurturing environment where children reach their highest potential.
",1982,All Populations,https://twitter.com/AnchorCenter,https://www.facebook.com/Anchor-Center-for-Blind-Children-387003481576/,https://www.linkedin.com/company/anchor-center-for-blind-children,https://www.instagram.com/anchorcenterforblindchildren/,"Anchor Center for Blind Children teaches visually impaired infants, young children and their families, providing hope and a nurturing environment where children reach their highest potential. Programs include separate classes for infants, toddlers, and preschoolers; summer camp; evening respite care; eye clinics; vision assessments; home visits
",Denver
Angel Concept,http://angelconcept.org,[email protected],720-283-8910,"7100 S. Andrea Ln, Morrison, CO, 80465","ANGEL CONCEPT, INC. PROVIDES STRUGGLING, DISADVANTAGED WOMEN WITH WORK-SKILLS TRAINING IN A RETAIL ENVIRONMENT- PREPARING THEM TO BECOME SUCCESSFUL EMPLOYEES IN THE RETAIL WORLD.
",2012,Women and Girls,,,,,"ANGEL CONCEPT WORKS WITH VARIOUS HALF-WAY HOUSES, COUNSELING
ORGANIZATIONS, PAROLE OFFICERS, ETC. TO IDENTIFY PARTICIPANTS WHO
ARE READY TO PARTICIPATE IN THE ANGEL CONCEPT TRAINING PROGRAM.
OVER THE COURSE OF THREE MONTHS, THE WOMEN RECEIVE EDUCATION AND
ON-THE-JOB TRAINING IN VARIOUS DISCIPLINES INCLUDING: WORK
ATTENDANCE, DRESSING FOR THE JOB, CUSTOMER SERVICE, MERCHANDISING
AND INVENTORY. AS A PART OF THE JOB TRAINING PROGRAM EACH TRAINEE
LEARNS THE SKILLS OF GOOD WORK HABITS, INVENTORY, MERCHANDISING,
CUSTOMER SERVICE, EFFECTIVE COMMUNICATION, FACE TO FACE
COMMUNICATION, TELEPHONE CONTACT, BUILDING RELATIONSHIPS, HOW TO
HANDLE DIFFICULT CUSTOMERS AND PREPARE FOR THEIR NEXT JOB.
",Jefferson
Animal Assisted Therapy Programs of Colorado,http://www.animalassistedtherapyprograms.org,[email protected],720-266-44444,"7275 Kipling Street, Arvada, CO, 80005","Through our counseling and training programs, Animal Assisted Therapy Programs of Colorado provides and promotes animal assisted psychotherapy to provide healing for people and rescued animals.
",2012,"All Populations, Animals, Children and Youth, Families, Gay, Lesbian, Bisexual, Transgender, Low Income, Men and Boys, American Indian/Native American, Urban, Women and Girls",https://twitter.com/aatpc,http://facebook.com/Animal-Assisted-Therapy-Programs-of-Colorado-125693814124822/,http://linkedin.com/company/4851120?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A4851120%2Cidx%3A2-1-2%2CtarId%3A1480971894042%2Ctas%3Aanimal%20assisted%20therapy%20programs,https://www.instagram.com/?hl=en,"Mazey’s Dream – animal assisted therapy and counseling provided for individuals and families with incomes less than $40,000 per year, veterans and their families and active military
Sasha’s Paw - animal assisted therapy and counseling provided for individuals and families on a fee-for-service basis
Animal Assisted Psychotherapy Certificate of Education – international online training program for mental health professionals interested in the specialty of Animal Assisted Psychotherapy
",Jefferson
0,Arc of Adams County,https://www.arcadams.org/,[email protected],3034280310,"641 E. 112th Ave., Northglenn, CO, 80233","Our mission is to advocate for children & adults with intellectual/developmental disabilities (I/DD) so they can live, learn, work and play in environments that are inclusive, interdependent, & encourage individual and family empowerment.
",1957,People Living With Disabilities,,https://www.facebook.com/arcadams.org/?ref=bookmarks,,,"Advocacy services for individuals (children and adults) with Intellectual and Developmental Disabilities
",Adams
1,ARC Thrift Stores,http://www.vehiclesforcharity.org,[email protected],3033082400,"570 W 53rd Place, Denver, CO, 80216","To generate the funds to all the ARC units to fulfill their mission.
",1963,All Populations,,,,,"One non-profit helping an other.
Donate your car to your favorite charity!
",Adams
2,ARC Thrift Stores/Vehicles for Charity -,,,303-439-7255,"6500 W 120TH AVE, Broomfield, CO, 80020",,,,,,,,,Broomfield
3,ARC Thrift Stores/Vehicles for Charity - Alameda,,,303-936-4371,"255 S HOOKER ST, DENVER, CO, 80219",,,,,,,,,Denver
4,ARC Thrift Stores/Vehicles for Charity - Arvada,,,303-420-0358,"9661 W 58TH AVE, ARVADA, CO, 80002",,,,,,,,,Jefferson
5,ARC Thrift Stores/Vehicles for Charity - Broadway,,,303-777-3703,"1515 S BROADWAY, DENVER, CO, 80210",,,,,,,,,Denver
6,ARC Thrift Stores/Vehicles for Charity - Central,,,303-752-2731,"7485 E ILIFF AVE, DENVER, CO, 80231",,,,,,,,,Arapahoe
7,ARC Thrift Stores/Vehicles for Charity - Colfax,,,303-343-9843,"10000 E COLFAX AVE, AURORA, CO, 80010",,,,,,,,,Arapahoe
8,ARC Thrift Stores/Vehicles for Charity - Federal,,,303-428-1591,"3047 W 74TH AVE, WESTMINSTER, CO, 80030",,,,,,,,,Adams
9,ARC Thrift Stores/Vehicles for Charity - Gateway,,,303-369-5858,"1070 S SABLE BLVD, AURORA, CO, 80012",,,,,,,,,Arapahoe
10,ARC Thrift Stores/Vehicles for Charity - Greeley,,,970-330-7082,"7721 W 6TH AVE STE G, LAKEWOOD, CO, 80214",,,,,,,,,Jefferson
11,ARC Thrift Stores/Vehicles for Charity - JCRS,,,303-232-6066,"6791 W COLFAX AVE, LAKEWOOD, CO, 80214",,,,,,,,,Jefferson
12,ARC Thrift Stores/Vehicles for Charity - Parker,,,303-283-0337,"3106 S PARKER RD STE C1, AURORA, CO, 80014",,,,,,,,,Arapahoe
13,ARC Thrift Stores/Vehicles for Charity - Pecos,,,303-427-0934,"1401 CORTEZ ST, DENVER, CO, 80221",,,,,,,,,Adams
14,ARC Thrift Stores/Vehicles for Charity - Thornton,,,303-450-4220,"9131 WASHINGTON ST, THORNTON, CO, 80229",,,,,,,,,Adams
15,"Archway Housing & Services, Inc.",http://www.archwayhousingandservices.org,,303-863-7712,"P.O.Box 280569, Denver, CO, 80228","The mission of Archway is to change lives by providing housing and related supportive services that engender a safe environment and teach community skills for families with very-low to moderate incomes.
",1995,All Populations,,,,,"family services
",Jefferson
16,Arrupe Jesuit High School,http://www.arrupejesuit.com,[email protected],303-455-7449,"4343 Utica St., Denver, CO, 80212","Arrupe Jesuit High School is a Roman Catholic, co-educational, college preparatory school sponsored by the Jesuits of the USA Central and Southern Province. Arrupe Jesuit serves economically disadvantaged students from Denver’s inner-city neighborhoods. By enhancing the human, intellectual, and spiritual capacities of our students through a rigorous, innovative, and affordable college preparatory education, we offer hope for a brighter future to some of Denver’s neediest youth. Our goal is to empower graduates who will continue their education and return as leaders in their communities.
",2003,"Children and Youth, Low Income",,,,,"Jesuit education is rooted in the formation of the whole person. Arrupe Jesuit aims to prepare students for success in college and beyond through the following programs:
College Preparatory Curriculum – College Prep is the focus of Arrupe Jesuit’s academic studies, ensuring graduates have a mastery of core subjects that both prepares them for their continued studies in higher education as well as meets the requirements for acceptance into colleges and universities. Most students who come to Arrupe Jesuit have been educationally underserved and function one to three years below grade level. Most incoming freshman test at the 5th or 6th grade levels in mathematics and literacy. To help students reach their potential, Arrupe Jesuit adheres to a rigorous, student-centered academic framework. All students are required to take four years of English, math, science and theology; three and a half years of social studies; three years of Spanish; one semester of art; and one semester of computer literacy. 
Corporate Work Study Program (CWSP) – While attending a full schedule of classes, Arrupe Jesuit students work for their corporate employer five days per month; schedules are coordinated through sections so that students do not miss school to be at their job. Through their job, students earn approximately half of the annual cost of their education, giving them both ownership over and pride in their work and education. The staff at Arrupe Jesuit trains the students, transports them to and from their jobs, and handles employer services such as payroll, workers compensation, and insurance. At their jobs, students perform services such as reception duties, scanning, filing, data entry, and many special projects. This pivotal program offers a life-changing opportunity for students to experience a professional setting first-hand, expanding their imagination for their own future, as they develop their skills and knowledge base.
Academic Support and Tutoring – Arrupe Jesuit sets high expectations for its students and provides a high level of support. Arrupe Jesuit offers a Seventh Period study hall that is mandatory for students who have not completed their homework, and optional for students who want extra assistance or time for completing assignments. Students in 9th and 10th grades have the option to re-do any assignment for a higher grade, and all students must re-do all assignments that received an “F” grade. All freshmen meet with their academic advisor every two weeks to monitor their progress and address any issues. These policies motivate students to succeed, help them connect to positive adult role models/mentors, and create a supportive culture at Arrupe Jesuit where each student feels that they are valued. 
College Counseling – Arrupe Jesuit students graduate prepared to continue their education in college and beyond. Our college counseling team works closely with students and families throughout their four years to help select appropriate schools and understand financial aid opportunities. All Arrupe Jesuit seniors are required to apply to at least three colleges or universities and complete five scholarship applications. Beyond their work with students, the college counselors work with colleges and universities nationwide to learn of opportunities and programs for first generation college students. Over 90% of Arrupe Jesuit alumni are first in their families to be college bound, making College Counseling a critical component of our mission.
Faith Formation – Following the centuries-old Jesuit tradition, Arrupe Jesuit forms students to be men and women for others, instilling in them spiritual growth, confidence, intellectual competence, character, and a life-long commitment to selfless servant leadership. Arrupe Jesuit helps its students develop a faith that can inform their daily lives. Each day begins and ends with prayer, and each afternoon all students and teachers stop to pray the Jesuit Examen. A student chapel was added in 2015 which aids in delivering our Catholic mission. Regularly scheduled Masses are offered for individual class sections as a central component of the Theology curriculum and as a foundational element of students’ faith formation. The highlight of faith life for Arrupe Jesuit students is a four-day Kairos retreat at Sacred Heart Retreat House. The Theology Department continues to promote the intellectual, personal and spiritual development of students through a curriculum approved by the U.S. Conference of Catholic Bishops.
",Denver
17,Art From Ashes Inc.,http://www.artfromashes.org,[email protected],303-837-1550,"1310 W 10th Ave, Denver, CO, 80204","Art from Ashes empowers struggling youth by providing creative workshops that facilitate health and hope through expression, connection and transformation.
",2003,Children and Youth,https://twitter.com/ArtfromAshes,https://www.facebook.com/Art.from.Ashes/,https://www.linkedin.com/company/art-from-ashes,https://www.instagram.com/afaphoenix/,"Phoenix Rising
Drawing on Air
",Denver
18,Art of Comedy,https://www.artofcomedy.org/,[email protected],3167303551,"9195 E LEHIGH AVE, Denver, CO, 80237","Art of Comedy facilitates the instruction of comedy to Women, LGBTQIA+ individuals, BIPOC, and troubled youth, to help overcome trauma and bring diversity to the entertainment arts. 
We will  partner with other organizations that serve this population.
Currently serving Denver and surrounding area but plan to expand nationally. 
There will be scholarships for classes already going in the area and
the recruitment of teachers where there are none.
Major fundraising is done through grants, donations, regular
monthly showcases, and annual comedy festivals.
",2020,"African-American, Asian-American, Children and Youth, Gay, Lesbian, Bisexual, Transgender, Latino/Hispanic, Women and Girls, At-Risk Youth",,https://www.facebook.com/artofcomedyofficial,https://www.linkedin.com/company/artofcomedy,https://www.instagram.com/artofcomedyofficial/,"Improv and comedy classes
",Denver
19,Arts & Wellness,,[email protected],3034752843,"P O Box 2741, Denver, CO, 80201","""Helping Others to Help Others""
",2015,"All Populations, African-American, Immigrants, Latino/Hispanic, Low Income, Men and Boys, Women and Girls",,http://www.facebook/Arts & Wellness,,,"I  Community Awareness for HPV Related Cancers Specifically Cervical Cancer
II  HPV Related Cancers Prevention -Vaccine
III  Fundraising for undeserved women's Pap Smears
",Denver
0,Arvada Community Food Bank dba Community Table,http://www.cotable.org,[email protected],303-424-6685,"8555 W 57TH AVE, Arvada, CO, 80002","The Arvada Community Food Bank provides our neighbors with food and resources to foster self-sufficiency and achieve long term success.
",1982,All Populations,,,,,"We’ve changed our name. The Arvada Community Food Bank is now the COMMUNITY TABLE!
For many years the Arvada Community Food Bank has filled the plates for our neighbors who live with food insecurity or other economic disadvantages.  We currently serve residents and the homeless in a geography of approximately 100 square miles of northern Jefferson County including the cities of Arvada, Edgewater, Lakeside, Golden, Mountain View, Westminster and Wheat Ridge.
Beginning in 2013, our plate overflowed when we expanded beyond food and launched Bridges to Opportunity to assist clients with non-food needs and provide programs and direction to those willing to put the effort into improving their own lives.
We are now setting the table, the Community Table, where donors, supporters, staff and volunteers will gather around and provide the resources to continue to serve our neighbors from a menu of services catered to their needs.
",Jefferson
1,Arvada United Methodist Church,http://www.arvadaumc.org,[email protected],303-421-5135,"6750 Carr St., Arvada, CO, 80004","""Arvada United Methodist Church is a welcoming, open-minded community of Christ followers who affirm the worth of all persons.""
",1870,All Populations,,https://facebook.com/ArvadaUMC,,,"United Methodist Church, faith based organization and social service center
",Jefferson
2,"Ascend Performing Arts, Inc.",http://www.ascendperformingarts.org,[email protected],3037771937,"3538 Peoria St, Aurora, CO, 80010","To further the education and growth toward maturity of young people by providing them the opportunity to participate in a performing musical organization of the highest caliber. To create an environment which encourages self-discipline, develops leadership and enhances self-esteem.
",1957,"African-American, Asian-American, Children and Youth, Gay, Lesbian, Bisexual, Transgender, Latino/Hispanic, Low Income, Men and Boys, American Indian/Native American, Women and Girls, Other",,,,,"Blue Knights Drum & Bugle Corps
Blue Knights Percussion Ensemble
Blue Knights Winds
",Adams
3,Asia Transpacific Foundation,,[email protected],303-443-6789,"1855 s 57th ct, Boulder, CO, 80301","To support social and environmental causes in Southeast Asia and the South Pacific. We support small local organizations in Asia - organizations which assist with education, employment training and land-mine removal.
",1998,,,,,,,Boulder
4,Asian Pacific Development Center,http://www.apdc.org,[email protected],303-923-2920,"1537 ALTON ST, Aurora, CO, 80010",,,,,,,,,Adams
5,Assistance League of Denver,http://www.denver.assistanceleague.org,[email protected],303-322-5205,"6265 E. Evans Ave., Suite 15, Denver, CO, 80222","Assistance League of Denver is a nonprofit volunteer organization whose members identify, develop, implement, and fund on-going service programs to meet specific needs in the metropolitan area.
",1955,All Populations,https://twitter.com/ALDenver3,https://www.assistanceleague.org/denver,,,"Operation School Bell®
Hospital Equipment Lending Program
Assault Survivor Kits®
",Denver
6,Association of Fundraising Professionals Colorado,http://www.afpcc.org,[email protected],303-394-6388,"8505 E Bellewood Place, Denver, CO, 80237","To advance philanthropy through education, training, advocacy, and code of ethics for professional fundraisers.
",1987,All Populations,,https://www.facebook.com/AFPColo/,https://www.linkedin.com/groups/3741089/,,"Various
",Denver
7,Association of Professional Flight Chaplains,http://www.flightchaplain.org,[email protected],303-367-8558,"PO BOX 202527, DENVER, CO, 80220","1. We are called to provide pastoral care and support to flight crews, programs and staff in the field of flight medicine. 2. We are called to provide spiritual support to patients and their families during transport. 3. We are called to create and support Flight Chaplain positions in air medical transport programs, through the training and certification of Professional Flight Chaplains. We are committed to developing tools and resources that will support flight crews, and will help crews and programs deliver safe and holistic care to those in their care.
",,,,,,,,Denver
8,Assuring Better Child Health and Development,,,720-333-1351,"8801 E. Hampden Ave, Suite 106, Denver, CO, 80231",,,,,,,,,Denver
9,ASTER Women's Chamber Choir,,[email protected],303-460-6800,"PO BOX 681, BROOMFIELD, CO, 80038",,,,,,,,,Boulder
10,Athletics and Beyond,http://www.athleticsandbeyond.com/,,303-725-0811,,"Athletics & Beyond is a resident-led nonprofit organization that is intrinsically designed to increase and expand the educational trajectories of Denver students at-risk of high school and college incompletion.  A&B's mission is to create opportunities through exposure. By using athletics to capture the attention of student-athletes, A&B incorporates robust services that also provide participants with the opportunity to develop life skills, explore alternative careers, and have access to preparatory rigorous academic support. Such services have enabled A&B to engage students academically and dramatically increase the likelihood that marginalized students graduate high school, attend and are prepared for higher education as well as obtain the discipline and fortitude to graduate with a post-secondary degree or apprentice program. We are a sports-based youth development & college readiness program that consists of four components: 1) Educational Success, 2) Life Skills Building, 3) Career Options and 4) Athletic Development.
",,,,,,,,
11,"Atlantis Community, Inc.",http://www.atlantiscommunity.org,[email protected],3037339394,"201 S. Cherokee Street, Unit 100, Denver, CO, 80223","The mission of Atlantis Community, Inc. is to advocate for all people with disabilities to be a meaningful part of an integrated community of their choice.
",1975,People Living With Disabilities,https://twitter.com/ACILivingCenter,https://www.facebook.com/AtlantisCommunityInc/,,https://www.instagram.com/atlantiscommunityinc/,"Information and referral
Peer Support
Advocacy
Independent Living Skills
Transition Services
Representative Payee
Section 8 Vouchers
",Denver
12,Aurora Chamber Foundation,http://www.aurorachamber.org,[email protected],303-344-1500,"14305 E ALAMEDA AVE STE 300, AURORA, CO, 80012","The Chamber is a non-profit, action-oriented membership organization that serves as the leading business ""voice"" and representative of the businesses in the east metro area. As a voluntary organization, the Chamber unites businesses, professionals and firms into a central agency that works to improve the business climate and building a better community. The Chamber enables its members to accomplish collectively what others can not do individually. Our strengths lie in attracting the greatest number of firms and individuals into the membership to create a pool of resources. The Chamber exists because of the needs of the business community.
",1999,,,,,,,Arapahoe
13,Aurora Community Connection family resource center,https://www.auroracommunityconnection.com/,[email protected],720-975-0147,"9801 E COLFAX AVE STE 200, Aurora, CO, 80010","To develop the capacities of underserved families, increase access to resources and promote social equity.
",2007,"Families, Immigrants, Latino/Hispanic, Low Income",,https://www.facebook.com/Aurora-Community-Connection-La-Conexi%C3%B3n-Comunitaria-de-Aurora-473605542666839/,,,"As a result of ongoing evaluation, ACC focuses on access to education and access to health. ACC’s education programs include academic tutoring for children, early childhood education, parenting classes and English as a second language (ESL) classes for adults. ACC improves access to health through exercise and  nutrition classes, chronic disease prevention classes, wellness classes, Medicaid and health insurance application assistance and wrap-around resource and referral services.
",Adams
14,Aurora Interfaith Community Services,http://AuroraInterfaithCommunityServices.org,[email protected],3033609938,"1553 Clinton St, Aurora, CO, 80010","The sole aim of AITF is to express Christian concern by providing substantive emergency assistance to the residents of Aurora.
",1968,All Populations,,https://www.facebook.com/AuroraInterfaithCommunityServices/,,,"AITF currently provides emergency food and toiletries; clothing and layettes; household goods; bus tickets; school supplies; and utility assistance when finances are available.
",Adams
